N°;Type;Sous-Type;Réf Auto;Des Auto;PU HT;Année;Geographie;Poids
110;Courrier;Affranchissement Courrier 100g France;25COUR110;AFFRANCHISSEMENT COURRIER 100G FRANCE TARIF 2025;2,78;2025;France;100g
111;Courrier;Affranchissement Courrier 250g France;25COUR111;AFFRANCHISSEMENT COURRIER 250G FRANCE TARIF 2025;4,72;2025;France;250g
112;Courrier;Affranchissement Courrier 500g France;25COUR112;AFFRANCHISSEMENT COURRIER 500G FRANCE TARIF 2025;6,7;2025;France;500g
113;Courrier;Affranchissement Courrier 1kg France;25COUR113;AFFRANCHISSEMENT COURRIER 1KG FRANCE TARIF 2025;8,4;2025;France;1kg
114;Courrier;Affranchissement Courrier 2kg France;25COUR114;AFFRANCHISSEMENT COURRIER 2KG FRANCE TARIF 2025;10,25;2025;France;2kg
115;Recommandé;Affranchissement LR-R1 20g France;25RECO115;AFFRANCHISSEMENT LR-R1 20G FRANCE TARIF 2025;5,74;2025;France;20g
116;Recommandé;Affranchissement LR-R1 50g France;25RECO116;AFFRANCHISSEMENT LR-R1 50G FRANCE TARIF 2025;6,56;2025;France;50g
117;Recommandé;Affranchissement LR-R1 100g France;25RECO117;AFFRANCHISSEMENT LR-R1 100G FRANCE TARIF 2025;7,4;2025;France;100g
118;Recommandé;Affranchissement LR-R1 250g France;25RECO118;AFFRANCHISSEMENT LR-R1 250G FRANCE TARIF 2025;9,05;2025;France;250g
119;Recommandé;Affranchissement LR-R1 500g France;25RECO119;AFFRANCHISSEMENT LR-R1 500G FRANCE TARIF 2025;10,63;2025;France;500g
120;Recommandé;Affranchissement LR-R1 1kg France;25RECO120;AFFRANCHISSEMENT LR-R1 1KG FRANCE TARIF 2025;12,23;2025;France;1kg
121;Recommandé;Affranchissement LR-R1 2kg France;25RECO121;AFFRANCHISSEMENT LR-R1 2KG FRANCE TARIF 2025;14,48;2025;France;2kg
122;Recommandé;Affranchissement LRAR-R1 20g France;25RECO122;AFFRANCHISSEMENT LRAR-R1 20G FRANCE TARIF 2025;7,14;2025;France;20g
123;Recommandé;Affranchissement LRAR-R1 50g France;25RECO123;AFFRANCHISSEMENT LRAR-R1 50G FRANCE TARIF 2025;7,96;2025;France;50g
124;Recommandé;Affranchissement LRAR-R1 100g France;25RECO124;AFFRANCHISSEMENT LRAR-R1 100G FRANCE TARIF 2025;8,8;2025;France;100g
125;Recommandé;Affranchissement LRAR-R1 250g France;25RECO125;AFFRANCHISSEMENT LRAR-R1 250G FRANCE TARIF 2025;10,45;2025;France;250g
126;Recommandé;Affranchissement LRAR-R1 500g France;25RECO126;AFFRANCHISSEMENT LRAR-R1 500G FRANCE TARIF 2025;12,03;2025;France;500g
127;Recommandé;Affranchissement LRAR-R1 1kg France;25RECO127;AFFRANCHISSEMENT LRAR-R1 1KG FRANCE TARIF 2025;13,63;2025;France;1kg
128;Recommandé;Affranchissement LRAR-R1 2kg France;25RECO128;AFFRANCHISSEMENT LRAR-R1 2KG FRANCE TARIF 2025;15,88;2025;France;2kg
129;Recommandé;Affranchissement LR-R2 20g France;25RECO129;AFFRANCHISSEMENT LR-R2 20G FRANCE TARIF 2025;6,85;2025;France;20g
130;Recommandé;Affranchissement LR-R2 50g France;25RECO130;AFFRANCHISSEMENT LR-R2 50G FRANCE TARIF 2025;7,58;2025;France;50g
131;Recommandé;Affranchissement LR-R2 100g France;25RECO131;AFFRANCHISSEMENT LR-R2 100G FRANCE TARIF 2025;8,43;2025;France;100g
132;Recommandé;Affranchissement LR-R2 250g France;25RECO132;AFFRANCHISSEMENT LR-R2 250G FRANCE TARIF 2025;10,08;2025;France;250g
133;Recommandé;Affranchissement LR-R2 500g France;25RECO133;AFFRANCHISSEMENT LR-R2 500G FRANCE TARIF 2025;11,6;2025;France;500g
134;Recommandé;Affranchissement LR-R2 1kg France;25RECO134;AFFRANCHISSEMENT LR-R2 1KG FRANCE TARIF 2025;13,25;2025;France;1kg
135;Recommandé;Affranchissement LR-R2 2kg France;25RECO135;AFFRANCHISSEMENT LR-R2 2KG FRANCE TARIF 2025;15,48;2025;France;2kg
136;Recommandé;Affranchissement LRAR-R2 20g France;25RECO136;AFFRANCHISSEMENT LRAR-R2 20G FRANCE TARIF 2025;8,25;2025;France;20g
137;Recommandé;Affranchissement LRAR-R2 50g France;25RECO137;AFFRANCHISSEMENT LRAR-R2 50G FRANCE TARIF 2025;8,98;2025;France;50g
138;Recommandé;Affranchissement LRAR-R2 100g France;25RECO138;AFFRANCHISSEMENT LRAR-R2 100G FRANCE TARIF 2025;9,83;2025;France;100g
139;Recommandé;Affranchissement LRAR-R2 250g France;25RECO139;AFFRANCHISSEMENT LRAR-R2 250G FRANCE TARIF 2025;11,48;2025;France;250g
140;Recommandé;Affranchissement LRAR-R2 500g France;25RECO140;AFFRANCHISSEMENT LRAR-R2 500G FRANCE TARIF 2025;13;2025;France;500g
141;Recommandé;Affranchissement LRAR-R2 1kg France;25RECO141;AFFRANCHISSEMENT LRAR-R2 1KG FRANCE TARIF 2025;14,65;2025;France;1kg
142;Recommandé;Affranchissement LRAR-R2 2kg France;25RECO142;AFFRANCHISSEMENT LRAR-R2 2KG FRANCE TARIF 2025;16,88;2025;France;2kg
143;Recommandé;Affranchissement LR-R3 20g France;25RECO143;AFFRANCHISSEMENT LR-R3 20G FRANCE TARIF 2025;8,43;2025;France;20g
144;Recommandé;Affranchissement LR-R3 50g France;25RECO144;AFFRANCHISSEMENT LR-R3 50G FRANCE TARIF 2025;9,08;2025;France;50g
145;Recommandé;Affranchissement LR-R3 100g France;25RECO145;AFFRANCHISSEMENT LR-R3 100G FRANCE TARIF 2025;9,9;2025;France;100g
146;Recommandé;Affranchissement LR-R3 250g France;25RECO146;AFFRANCHISSEMENT LR-R3 250G FRANCE TARIF 2025;11,67;2025;France;250g
147;Recommandé;Affranchissement LR-R3 500g France;25RECO147;AFFRANCHISSEMENT LR-R3 500G FRANCE TARIF 2025;13,06;2025;France;500g
148;Recommandé;Affranchissement LR-R3 1kg France;25RECO148;AFFRANCHISSEMENT LR-R3 1KG FRANCE TARIF 2025;14,7;2025;France;1kg
149;Recommandé;Affranchissement LR-R3 2kg France;25RECO149;AFFRANCHISSEMENT LR-R3 2KG FRANCE TARIF 2025;17,08;2025;France;2kg
150;Recommandé;Affranchissement LRAR-R3 20g France;25RECO150;AFFRANCHISSEMENT LRAR-R3 20G FRANCE TARIF 2025;9,83;2025;France;20g
151;Recommandé;Affranchissement LRAR-R3 50g France;25RECO151;AFFRANCHISSEMENT LRAR-R3 50G FRANCE TARIF 2025;10,48;2025;France;50g
152;Recommandé;Affranchissement LRAR-R3 100g France;25RECO152;AFFRANCHISSEMENT LRAR-R3 100G FRANCE TARIF 2025;11,3;2025;France;100g
153;Recommandé;Affranchissement LRAR-R3 250g France;25RECO153;AFFRANCHISSEMENT LRAR-R3 250G FRANCE TARIF 2025;13,07;2025;France;250g
154;Recommandé;Affranchissement LRAR-R3 500g France;25RECO154;AFFRANCHISSEMENT LRAR-R3 500G FRANCE TARIF 2025;14,46;2025;France;500g
155;Recommandé;Affranchissement LRAR-R3 1kg France;25RECO155;AFFRANCHISSEMENT LRAR-R3 1KG FRANCE TARIF 2025;16,1;2025;France;1kg
156;Recommandé;Affranchissement LRAR-R3 2kg France;25RECO156;AFFRANCHISSEMENT LRAR-R3 2KG FRANCE TARIF 2025;18,48;2025;France;2kg
157;Recommandé;Affranchissement LR-R1 20g Monde;25RECO157;AFFRANCHISSEMENT LR-R1 20G MONDE TARIF 2025;7,05;2025;Monde;20g
158;Recommandé;Affranchissement LR-R1 50g Monde;25RECO158;AFFRANCHISSEMENT LR-R1 50G MONDE TARIF 2025;9,45;2025;Monde;50g
159;Recommandé;Affranchissement LR-R1 100g Monde;25RECO159;AFFRANCHISSEMENT LR-R1 100G MONDE TARIF 2025;9,45;2025;Monde;100g
160;Recommandé;Affranchissement LR-R1 250g Monde;25RECO160;AFFRANCHISSEMENT LR-R1 250G MONDE TARIF 2025;15,75;2025;Monde;250g
161;Recommandé;Affranchissement LR-R1 500g Monde;25RECO161;AFFRANCHISSEMENT LR-R1 500G MONDE TARIF 2025;20,45;2025;Monde;500g
162;Recommandé;Affranchissement LR-R1 1kg Monde;25RECO162;AFFRANCHISSEMENT LR-R1 1KG MONDE TARIF 2025;34,45;2025;Monde;1kg
163;Recommandé;Affranchissement LR-R1 2kg Monde;25RECO163;AFFRANCHISSEMENT LR-R1 2KG MONDE TARIF 2025;34,45;2025;Monde;2kg
164;Recommandé;Affranchissement LRAR-R1 20g Monde;25RECO164;AFFRANCHISSEMENT LRAR-R1 20G MONDE TARIF 2025;8,55;2025;Monde;20g
165;Recommandé;Affranchissement LRAR-R1 100g Monde;25RECO165;AFFRANCHISSEMENT LRAR-R1 100G MONDE TARIF 2025;10,95;2025;Monde;100g
166;Recommandé;Affranchissement LRAR-R1 250g Monde;25RECO166;AFFRANCHISSEMENT LRAR-R1 250G MONDE TARIF 2025;17,25;2025;Monde;250g
167;Recommandé;Affranchissement LRAR-R1 500g Monde;25RECO167;AFFRANCHISSEMENT LRAR-R1 500G MONDE TARIF 2025;21,95;2025;Monde;500g
168;Recommandé;Affranchissement LRAR-R1 2kg Monde;25RECO168;AFFRANCHISSEMENT LRAR-R1 2KG MONDE TARIF 2025;35,95;2025;Monde;2kg
169;Recommandé;Affranchissement LR-R2 20g Monde;25RECO169;AFFRANCHISSEMENT LR-R2 20G MONDE TARIF 2025;8,05;2025;Monde;20g
170;Recommandé;Affranchissement LR-R2 100g Monde;25RECO170;AFFRANCHISSEMENT LR-R2 100G MONDE TARIF 2025;10,45;2025;Monde;100g
171;Recommandé;Affranchissement LR-R2 250g Monde;25RECO171;AFFRANCHISSEMENT LR-R2 250G MONDE TARIF 2025;16,75;2025;Monde;250g
172;Recommandé;Affranchissement LR-R2 500g Monde;25RECO172;AFFRANCHISSEMENT LR-R2 500G MONDE TARIF 2025;21,45;2025;Monde;500g
173;Recommandé;Affranchissement LR-R2 2kg Monde;25RECO173;AFFRANCHISSEMENT LR-R2 2KG MONDE TARIF 2025;35,45;2025;Monde;2kg
174;Recommandé;Affranchissement LRAR-R2 20g Monde;25RECO174;AFFRANCHISSEMENT LRAR-R2 20G MONDE TARIF 2025;9,55;2025;Monde;20g
175;Recommandé;Affranchissement LRAR-R2 100g Monde;25RECO175;AFFRANCHISSEMENT LRAR-R2 100G MONDE TARIF 2025;11,95;2025;Monde;100g
176;Recommandé;Affranchissement LRAR-R2 250g Monde;25RECO176;AFFRANCHISSEMENT LRAR-R2 250G MONDE TARIF 2025;18,25;2025;Monde;250g
177;Recommandé;Affranchissement LRAR-R2 500g Monde;25RECO177;AFFRANCHISSEMENT LRAR-R2 500G MONDE TARIF 2025;22,95;2025;Monde;500g
178;Recommandé;Affranchissement LRAR-R2 2kg Monde;25RECO178;AFFRANCHISSEMENT LRAR-R2 2KG MONDE TARIF 2025;36,95;2025;Monde;2kg
179;Colis;Affranchissement Colis 250g France;25COLI179;AFFRANCHISSEMENT COLIS 250G FRANCE TARIF 2025;5,25;2025;France;250g
180;Colis;Affranchissement Colis 500g France;25COLI180;AFFRANCHISSEMENT COLIS 500G FRANCE TARIF 2025;7,35;2025;France;500g
181;Colis;Affranchissement Colis 750g France;25COLI181;AFFRANCHISSEMENT COLIS 750G FRANCE TARIF 2025;8,65;2025;France;750g
182;Colis;Affranchissement Colis 1kg France;25COLI182;AFFRANCHISSEMENT COLIS 1KG FRANCE TARIF 2025;9,4;2025;France;1kg
183;Colis;Affranchissement Colis 2kg France;25COLI183;AFFRANCHISSEMENT COLIS 2KG FRANCE TARIF 2025;10,7;2025;France;2kg
184;Colis;Affranchissement Colis 5kg France;25COLI184;AFFRANCHISSEMENT COLIS 5KG FRANCE TARIF 2025;16,6;2025;France;5kg
185;Colis;Affranchissement Colis 10kg France;25COLI185;AFFRANCHISSEMENT COLIS 10KG FRANCE TARIF 2025;24,2;2025;France;10kg
186;Colis;Affranchissement Colis 15kg France;25COLI186;AFFRANCHISSEMENT COLIS 15KG FRANCE TARIF 2025;30,55;2025;France;15kg
187;Colis;Affranchissement Colis 30kg France;25COLI187;AFFRANCHISSEMENT COLIS 30KG FRANCE TARIF 2025;37,85;2025;France;30kg
188;Colis;Affranchissement Colis 500g Europe;25COLI188;AFFRANCHISSEMENT COLIS 500G EUROPE TARIF 2025;14,85;2025;Europe;500g
189;Colis;Affranchissement Colis 1kg Europe;25COLI189;AFFRANCHISSEMENT COLIS 1KG EUROPE TARIF 2025;18,45;2025;Europe;1kg
190;Colis;Affranchissement Colis 2kg Europe;25COLI190;AFFRANCHISSEMENT COLIS 2KG EUROPE TARIF 2025;20,9;2025;Europe;2kg
191;Colis;Affranchissement Colis 5kg Europe;25COLI191;AFFRANCHISSEMENT COLIS 5KG EUROPE TARIF 2025;26,8;2025;Europe;5kg
192;Colis;Affranchissement Colis 10kg Europe;25COLI192;AFFRANCHISSEMENT COLIS 10KG EUROPE TARIF 2025;44,2;2025;Europe;10kg
193;Colis;Affranchissement Colis 15kg Europe;25COLI193;AFFRANCHISSEMENT COLIS 15KG EUROPE TARIF 2025;64,8;2025;Europe;15kg
194;Colis;Affranchissement Colis 30kg Europe;25COLI194;AFFRANCHISSEMENT COLIS 30KG EUROPE TARIF 2025;84;2025;Europe;30kg
195;Colis;Affranchissement Colis 500g Monde_B;25COLI195;AFFRANCHISSEMENT COLIS 500G MONDE_B TARIF 2025;22,7;2025;Monde_B;500g
196;Colis;Affranchissement Colis 1kg Monde_B;25COLI196;AFFRANCHISSEMENT COLIS 1KG MONDE_B TARIF 2025;27,1;2025;Monde_B;1kg
197;Colis;Affranchissement Colis 2kg Monde_B;25COLI197;AFFRANCHISSEMENT COLIS 2KG MONDE_B TARIF 2025;29,65;2025;Monde_B;2kg
198;Colis;Affranchissement Colis 5kg Monde_B;25COLI198;AFFRANCHISSEMENT COLIS 5KG MONDE_B TARIF 2025;38;2025;Monde_B;5kg
199;Colis;Affranchissement Colis 10kg Monde_B;25COLI199;AFFRANCHISSEMENT COLIS 10KG MONDE_B TARIF 2025;63;2025;Monde_B;10kg
200;Colis;Affranchissement Colis 15kg Monde_B;25COLI200;AFFRANCHISSEMENT COLIS 15KG MONDE_B TARIF 2025;85,5;2025;Monde_B;15kg
201;Colis;Affranchissement Colis 20kg Monde_B;25COLI201;AFFRANCHISSEMENT COLIS 20KG MONDE_B TARIF 2025;104,5;2025;Monde_B;20kg
202;Colis;Affranchissement Colis 500g Monde_C;25COLI202;AFFRANCHISSEMENT COLIS 500G MONDE_C TARIF 2025;33,5;2025;Monde_C;500g
203;Colis;Affranchissement Colis 1kg Monde_C;25COLI203;AFFRANCHISSEMENT COLIS 1KG MONDE_C TARIF 2025;37,3;2025;Monde_C;1kg
204;Colis;Affranchissement Colis 5kg Monde_C;25COLI204;AFFRANCHISSEMENT COLIS 5KG MONDE_C TARIF 2025;51,4;2025;Monde_C;5kg
205;Colis;Affranchissement Colis 10kg Monde_C;25COLI205;AFFRANCHISSEMENT COLIS 10KG MONDE_C TARIF 2025;75;2025;Monde_C;10kg
206;Colis;Affranchissement Colis 15kg Monde_C;25COLI206;AFFRANCHISSEMENT COLIS 15KG MONDE_C TARIF 2025;142;2025;Monde_C;15kg
207;Colis;Affranchissement Colis 2kg Monde_C;25COLI207;AFFRANCHISSEMENT COLIS 2KG MONDE_C TARIF 2025;201;2025;Monde_C;2kg
208;Colis;Affranchissement Colis 20kg Monde_C;25COLI208;AFFRANCHISSEMENT COLIS 20KG MONDE_C TARIF 2025;245;2025;Monde_C;20kg
209;Timbres;Affranchissement Timbres-Divers / /;25TIMB209;AFFRANCHISSEMENT TIMBRES-DIVERS / / TARIF 2025;0;2025;/;/
210;Courrier;Affranchissement Courrier 20g Monde;25COUR210;AFFRANCHISSEMENT COURRIER 20G MONDE TARIF 2025;2,1;2025;Monde;20g
211;Courrier;Affranchissement Courrier 100g Monde;25COUR211;AFFRANCHISSEMENT COURRIER 100G MONDE TARIF 2025;4,5;2025;Monde;100g
212;Courrier;Affranchissement Courrier 250g Monde;25COUR212;AFFRANCHISSEMENT COURRIER 250G MONDE TARIF 2025;10,8;2025;Monde;250g
213;Courrier;Affranchissement Courrier 500g Monde;25COUR213;AFFRANCHISSEMENT COURRIER 500G MONDE TARIF 2025;15,5;2025;Monde;500g
214;Courrier;Affranchissement Courrier 2kg Monde;25COUR214;AFFRANCHISSEMENT COURRIER 2KG MONDE TARIF 2025;29,5;2025;Monde;2kg
